id,title,genres,year
1,Reckless,Comedy|Drama|Romance,2001
2,When a Man Loves a Woman,Drama|Romance,1995
3,Creature,Documentary,1997
4,Sex and Zen (Rou pu Tuan zhi tou Qing bao Jian),Action|Adventure|Comedy|Fantasy,2007
5,Des roses en hiver,Drama,2007
6,The Magical Legend of the Leprechauns,Adventure|Children|Comedy|Fantasy|Romance,2010
7,Marilena de la P7,Drama|Fantasy,1984
8,"Battle of Algiers, The (La battaglia di Algeri)",Drama|War,2012
9,"Winning of Barbara Worth, The",Drama|Romance|Western,2009
10,Beijing Taxi,Documentary,1993
11,Pleasure at Her Majesty's,Comedy|Documentary,2009
12,Gang Related,Crime,1993
13,Bird of Paradise,Adventure|Drama|Romance,1990
14,"Man Behind the Gun, The",Western,1993
15,William S. Burroughs: A Man Within,Documentary,1995
16,Half a Loaf of Kung Fu (Dian zhi gong fu gan chian chan),Action|Comedy,2006
17,Otaku,Documentary,2004
18,Repeaters ,Action|Drama,2009
19,Party Monster,Documentary,2007
20,"Two Days, One Night (Deux jours, une nuit)",Drama,2009
21,To Be or Not to Be,Comedy|Drama|War,2011
22,"Good Student, The (Mr. Gibb)",Comedy,1986
23,Synth Britannia,Documentary,1995
24,Skenbart: En film om tåg,Comedy,1993
25,The Improv: 50 Years Behind the Brick Wall,Comedy|Documentary,2007
26,Naan Kadavul,Action|Drama|Mystery,2011
27,Fitzcarraldo,Adventure|Drama,2004
28,Liam,Drama,2010
29,"You, Me and Dupree",Comedy,2012
30,Monkey Business,Comedy,2012
31,Run Sister Run!,Drama,2006
32,Police Story (Ging chaat goo si),Action|Comedy|Crime|Thriller,1991
33,Come Drink with Me (Da zui xia),Action|Adventure|Crime,2006
34,Libre échange,Comedy,2009
35,Little Monsters,Comedy,2005
36,"Hunter, The",Action|Thriller,2009
37,Bite the Bullet,Action|Adventure|Western,1994
38,Praying with Lior,Documentary,2008
39,State Fair,Comedy|Drama|Romance,1997
40,Ursul,Comedy|Drama,1996
41,In Fear,Thriller,2000
42,Hamlet,Drama,2009
43,Lights Out,Drama|Mystery|Thriller,2001
44,Tommy,Drama|Musical,2001
45,61*,Drama,2010
46,Black Sunday (La maschera del demonio),Horror,2003
47,Run Sister Run!,Drama,2003
48,"Atomic States of America, The",Documentary,1992
49,2046,Drama|Fantasy|Romance|Sci-Fi,2006
50,"Piano in a Factory, The (Gang de qin)",Comedy|Drama|Musical,2005
51,Marc Maron: Thinky Pain,Comedy,1995
52,Year Zero: The Silent Death of Cambodia,Documentary,2005
53,Valley of the Bees (Údolí vcel),Drama,1994
54,Spider-Man 2,Action|Adventure|Sci-Fi|IMAX,2006
55,Sin Retorno,Drama|Thriller,2005
56,"Harder They Fall, The",Drama|Film-Noir,1990
57,Ingrid,Drama,1994
58,While You Were Sleeping,Comedy|Romance,1990
59,Experimenter,Drama,1992
60,Or (a.k.a. My Treasure),Drama,1997
61,Perfume,Comedy|Drama,1989
62,Wonder Boys,Comedy|Drama,1998
63,"Young Törless, The (Junge Törless, Der)",Drama,1983
64,Conversation Piece (Gruppo di famiglia in un interno),Drama,2010
65,Clean and Sober,Drama,2004
66,Michael Jackson's This Is It,Documentary|Musical|IMAX,1999
67,Napoleon and Samantha,Adventure|Drama,2000
68,"Last Real Men, The (Die letzten Männer)",Documentary,2003
69,B. Monkey,Crime|Romance|Thriller,2000
70,Everything or Nothing: The Untold Story of 007,Documentary,2009
71,Operation Crossbow,Action|Adventure|War,2004
72,Tere Naam,Romance,2003
73,Jay And Silent Bob's Super Groovy Cartoon Movie,(no genres listed),1989
74,Sex and Zen (Rou pu Tuan zhi tou Qing bao Jian),Action|Adventure|Comedy|Fantasy,2009
75,Korso,Drama,2007
76,Booty Call,Comedy|Romance,2007
77,In the Mirror of Maya Deren (Im Spiegel der Maya Deren),Documentary,2012
78,Maid to Order,Comedy|Fantasy,1995
79,Alice (Neco z Alenky),Animation|Fantasy|Mystery,2011
80,Zotz!,Comedy|Fantasy|Horror,2007
81,Hero (Ying xiong),Action|Adventure|Drama,2012
82,Bed & Board (Domicile conjugal),Comedy|Drama,1999
83,"Nature of the Beast, The",Crime|Horror|Mystery|Thriller,1986
84,Odgrobadogroba,Comedy|Drama,1997
85,Teen Spirit,Comedy,2006
86,"Ghost of Frankenstein, The",Horror,2013
87,Wadjda,Drama,2002
88,Blackout,Action|Thriller,1996
89,"Secret of Moonacre, The",Adventure|Fantasy|Romance,2008
90,Mean Guns,Action|Crime|Thriller,1986
91,Pillow Talk,Comedy|Musical|Romance,1999
92,Fur: An Imaginary Portrait of Diane Arbus,Drama|Fantasy|Romance,2010
93,"Lonely Guy, The",Comedy,2008
94,Heavy Metal,Action|Adventure|Animation|Horror|Sci-Fi,2007
95,Bride Wars,Comedy|Romance,1989
96,In Your Hands,Drama,2002
97,Lucky Jordan,Comedy|Crime|Drama,2012
98,Mostly Martha (Bella Martha),Comedy|Drama|Romance,2002
99,Quebrando o Tabu,Documentary,2011
100,"Outlaw Josey Wales, The",Action|Adventure|Drama|Thriller|Western,2006
